Year,Category,Percentage: Positive,Percentage: Negative,Percentage: Neutral,Count: Positive,Count: Negative,Count: Neutral,Total
2009,New York,33.43641645581483,33.979945647080875,32.5836378971043,3568,3626,3477,10671
2009,Opinion,33.48106876028872,26.706344181334686,39.8125870583766,2644,2109,3144,7897
2009,Science,44.764288694201085,23.696287025448477,31.53942428035044,1073,568,756,2397
2009,Health,42.62344744016964,30.566495001514692,26.810057558315663,1407,1009,885,3301
2009,Books,40.895262929161234,25.467188179052584,33.63754889178618,941,586,774,2301
2009,Travel,53.80200860832137,12.003825920612147,34.194165471066476,1125,251,715,2091
2009,Food,39.2754219843557,12.63894606834088,48.08563194730341,954,307,1168,2429
2010,New York,31.43687707641196,34.71760797342193,33.84551495016611,3028,3344,3260,9632
2010,Arts,41.71081028055719,16.352756523445162,41.936433195997644,4252,1667,4275,10194
2010,Sports,46.14177131526768,23.967283542630536,29.89094514210178,5585,2901,3618,12104
2010,World,27.78480123612867,54.48798988621998,17.727208877651353,1978,3879,1262,7119
2010,Business Day,43.814191126635734,30.186121682915385,25.999687190448885,8404,5790,4987,19181
2010,Opinion,32.25041498695755,27.88712354754565,39.8624614654968,2720,2352,3362,8434
2010,Science,38.90618052467764,27.790128946198312,33.303690529124054,875,625,749,2249
2010,U.S.,38.00240937465776,34.519767823896615,27.477822801445623,3470,3152,2509,9131
2010,Books,43.05555555555556,21.550179211469533,35.39426523297491,961,481,790,2232
2010,Food,40.01447178002894,10.926193921852388,49.05933429811867,553,151,678,1382
2010,Technology,44.797591167614584,18.333890933422552,36.868517898962864,1339,548,1102,2989
2010,Health,43.62880886426593,30.020775623268698,26.350415512465375,1260,867,761,2888
2010,Travel,49.61518727552591,11.749615187275527,38.635197537198565,967,229,753,1949
